"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"695","LE_SKI_TARGETS_DN",1,1,0,7,"","MM909_16"
"696","LE_SKI_TARGETS_UP",1,1,0,17,"","MM909_16"
"697","MODULE_278",1,1,0,34,"","MM909_16"
"698","MORF_USP5",1,1,0,51,"","MM909_16"
"699","PROTEIN_UBIQUITINATION",1,1,0,40,"","MM909_16"
"700","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1",1,1,0,48,"","MM909_16"
"701","REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS",1,1,0,51,"","MM909_16"
"702","SMALL_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",1,1,0,52,"","MM909_16"
"703","STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS",1,1,0,11,"","MM909_16"
"704","UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,49,"","MM909_16"
"705","WAESCH_ANAPHASE_PROMOTING_COMPLEX",1,1,0,13,"","MM909_16"
"706","WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY",1,1,0,71,"","MM909_16"
"707","YU_BAP1_TARGETS",1,1,0,29,"","MM909_16"
"708","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",2.03741290460697e-15,2.05778703365304e-13,9,828,"ENSG00000114423, ENSG00000112659, ENSG00000056586, ENSG00000118518, ENSG00000178222, ENSG00000175104, ENSG00000159459, ENSG00000144357, ENSG00000123124","MM909_17"
"709","GOCC_UBIQUITIN_LIGASE_COMPLEX",2.03735350790913e-09,1.02886352149411e-07,5,312,"ENSG00000112659, ENSG00000159459, ENSG00000144357, ENSG00000077254, ENSG00000123124","MM909_17"
"710","UBIQUITIN_CYCLE",8.62713947842095e-08,2.22577774143499e-06,3,48,"ENSG00000175104, ENSG00000077254, ENSG00000123124","MM909_17"
"711","UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",9.18881103460964e-08,2.22577774143499e-06,3,49,"ENSG00000175104, ENSG00000144357, ENSG00000123124","MM909_17"
"712","SMALL_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",1.10187016902722e-07,2.22577774143499e-06,3,52,"ENSG00000175104, ENSG00000144357, ENSG00000123124","MM909_17"
"713","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1.89486094483948e-06,3.1896825904798e-05,3,133,"ENSG00000114423, ENSG00000175104, ENSG00000123124","MM909_17"
"714","GOBP_PROTEIN_POLYUBIQUITINATION",9.17073483481717e-06,0.000132320602616648,3,225,"ENSG00000056586, ENSG00000118518, ENSG00000175104","MM909_17"
"715","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION",1.3933558458677e-05,0.000175911175540797,2,30,"ENSG00000058056, ENSG00000077254","MM909_17"
"716","PROTEIN_UBIQUITINATION",2.49583402612654e-05,0.000280088040709757,2,40,"ENSG00000175104, ENSG00000123124","MM909_17"
"717","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",0.000186992793923769,0.00188862721863007,2,109,"ENSG00000114423, ENSG00000175104","MM909_17"
"718","GOMF_DEUBIQUITINASE_ACTIVITY",0.000219096787462876,0.00197093732797898,2,118,"ENSG00000058056, ENSG00000077254","MM909_17"
"719","GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING",0.000234170771641067,0.00197093732797898,2,122,"ENSG00000058056, ENSG00000077254","MM909_17"
"720","GOMF_UBIQUITIN_LIKE_PROTEIN_PEPTIDASE_ACTIVITY",0.00026580261081739,0.00200682545612444,2,130,"ENSG00000058056, ENSG00000077254","MM909_17"
"721","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL",0.000278173825601407,0.00200682545612444,2,133,"ENSG00000058056, ENSG00000077254","MM909_17"
"722","GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",0.000620052337765875,0.00417501907429023,2,199,"ENSG00000114423, ENSG00000175104","MM909_17"
"723","GOBP_PROTEIN_K29_LINKED_DEUBIQUITINATION",0.000935687041120015,0.00590652444707009,1,5,"ENSG00000058056","MM909_17"
"724","GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX",0.00243111713094391,0.0144436958956079,1,13,"ENSG00000077254","MM909_17"
"725","GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY",0.00261790154939989,0.0146893364716327,1,14,"ENSG00000175104","MM909_17"
"726","GOMF_K48_LINKED_DEUBIQUITINASE_ACTIVITY",0.00317806246783636,0.0168939110132354,1,17,"ENSG00000058056","MM909_17"
