"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"41","GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX",1,1,0,29,"","MM909_02"
"42","GOCC_APICAL_CORTEX",1,1,0,11,"","MM909_02"
"43","GOCC_APICAL_DENDRITE",1,1,0,15,"","MM909_02"
"44","GOCC_APICAL_JUNCTION_COMPLEX",1,1,0,148,"","MM909_02"
"45","GOCC_APICAL_PART_OF_CELL",1,1,0,448,"","MM909_02"
"46","GOCC_APICAL_PLASMA_MEMBRANE",1,1,0,382,"","MM909_02"
"47","GOCC_APICOLATERAL_PLASMA_MEMBRANE",1,1,0,20,"","MM909_02"
"48","GOCC_ARP2_3_PROTEIN_COMPLEX",1,1,0,9,"","MM909_02"
"49","GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX",1,1,0,8,"","MM909_02"
"50","GOCC_ASTER",1,1,0,11,"","MM909_02"
"51","GOCC_ASTROCYTE_END_FOOT",1,1,0,8,"","MM909_02"
"52","GOCC_ASTROCYTE_PROJECTION",1,1,0,19,"","MM909_02"
"53","GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE",1,1,0,6,"","MM909_02"
"54","GOCC_ATAC_COMPLEX",1,1,0,13,"","MM909_02"
"55","GOCC_ATG1_ULK1_KINASE_COMPLEX",1,1,0,6,"","MM909_02"
"56","GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX",1,1,0,6,"","MM909_02"
"57","GOCC_ATPASE_COMPLEX",1,1,0,89,"","MM909_02"
"58","GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX",1,1,0,24,"","MM909_02"
"59","GOCC_AUTOLYSOSOME",1,1,0,11,"","MM909_02"
"60","GOCC_AUTOPHAGOSOME",1,1,0,112,"","MM909_02"
"61","GOCC_AUTOPHAGOSOME_MEMBRANE",1,1,0,52,"","MM909_02"
"62","GOCC_AXOLEMMA",1,1,0,19,"","MM909_02"
"63","GOCC_AXON_CYTOPLASM",1,1,0,61,"","MM909_02"
"64","GOCC_AXON_HILLOCK",1,1,0,7,"","MM909_02"
"65","GOCC_AXON_INITIAL_SEGMENT",1,1,0,19,"","MM909_02"
"66","GOCC_AXONAL_GROWTH_CONE",1,1,0,21,"","MM909_02"
"67","GOCC_AXONEMAL_DYNEIN_COMPLEX",1,1,0,23,"","MM909_02"
"68","GOCC_AXONEMAL_MICROTUBULE",1,1,0,9,"","MM909_02"
"69","GOCC_AZUROPHIL_GRANULE",1,1,0,171,"","MM909_02"
"70","GOCC_AZUROPHIL_GRANULE_LUMEN",1,1,0,97,"","MM909_02"
"71","GOCC_AZUROPHIL_GRANULE_MEMBRANE",1,1,0,67,"","MM909_02"
"72","GOCC_B_WICH_COMPLEX",1,1,0,7,"","MM909_02"
"73","GOCC_BARR_BODY",1,1,0,7,"","MM909_02"
"74","GOCC_BASAL_CORTEX",1,1,0,5,"","MM909_02"
"75","GOCC_BASAL_DENDRITE",1,1,0,6,"","MM909_02"
"76","GOCC_BASAL_PART_OF_CELL",1,1,0,275,"","MM909_02"
"77","GOCC_BASEMENT_MEMBRANE",1,1,0,95,"","MM909_02"
"78","GOCC_BASEMENT_MEMBRANE_COLLAGEN_TRIMER",1,1,0,9,"","MM909_02"
"79","GOCC_BASOLATERAL_PLASMA_MEMBRANE",1,1,0,232,"","MM909_02"
"80","GOCC_BBSOME",1,1,0,8,"","MM909_02"
"81","GOCC_BCL_2_FAMILY_PROTEIN_COMPLEX",1,1,0,8,"","MM909_02"
"82","GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX",1,1,0,11,"","MM909_02"
"83","GOCC_BETA_CATENIN_TCF_COMPLEX",1,1,0,13,"","MM909_02"
"84","GOCC_BLEB",1,1,0,10,"","MM909_02"
"85","GOCC_BLOC_1_COMPLEX",1,1,0,9,"","MM909_02"
"86","GOCC_BLOC_COMPLEX",1,1,0,14,"","MM909_02"
"87","GOCC_BLOOD_MICROPARTICLE",1,1,0,175,"","MM909_02"
"88","GOCC_BORC_COMPLEX",1,1,0,8,"","MM909_02"
"89","GOCC_BOX_C_D_RNP_COMPLEX",1,1,0,7,"","MM909_02"
"90","GOCC_BOX_H_ACA_RNP_COMPLEX",1,1,0,9,"","MM909_02"
"91","GOCC_BOX_H_ACA_SNORNP_COMPLEX",1,1,0,5,"","MM909_02"
"92","GOCC_BOX_H_ACA_TELOMERASE_RNP_COMPLEX",1,1,0,5,"","MM909_02"
"93","GOCC_BRCA1_A_COMPLEX",1,1,0,8,"","MM909_02"
"94","GOCC_BRCA1_C_COMPLEX",1,1,0,6,"","MM909_02"
"95","GOCC_BRISC_COMPLEX",1,1,0,5,"","MM909_02"
"96","GOCC_BRUSH_BORDER",1,1,0,108,"","MM909_02"
"97","GOCC_BRUSH_BORDER_MEMBRANE",1,1,0,55,"","MM909_02"
"98","GOCC_CAJAL_BODY",1,1,0,82,"","MM909_02"
"99","GOCC_CALCINEURIN_COMPLEX",1,1,0,5,"","MM909_02"
"100","GOCC_CALCITONIN_FAMILY_RECEPTOR_COMPLEX",1,1,0,5,"","MM909_02"
"101","GOCC_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX",1,1,0,5,"","MM909_02"
